,language
0,sizzler vpn websocket sizzler linux tool set virtual network interface computer transmit datum send receive computer run program transmission utilize websocket common technology modern website technology optimize websocket connection apply sizzler firewall allow websocket allow sizzler connection reverse proxy accelerate access work network interface set sizzler behave like normal network interface transmit packet tcp udp icmp support sizzler mit license install use pypi install sudo pip3 install sizzler usage sizzler run command line sizzler help sudo sizzler config_file supply config file yaml format][yaml start program client mode sizzler require root priviledge drop right virtual network interface set run sudo sizzler config_file like server mode sizzler print example config file standard output yaml
1,"django mongokit peter bengtsson 2010 2011 license new bsd license bridging django mongodb mongokit odm ------------------------------------------------ purpose module easy use namlook mongokit wiki home define model django prefer use mongodb instead relational database kit take care boilerplate make mongokit document work better django define meta class attribute register installation ------------ pip install django mongokit usage configuration ------------------- need define database setting databases directive example databases default engine django.db.backends.sqlite3 example-sqlite3.db mongodb engine django_mongokit.mongodb example note default mongodb mandatory key setting change databases['mongodb django like django.db import model class talk(model model topic model charfield(max_length=250 date model datetimefield django_mongokit django_mongokit.document import djangodocument class talk(djangodocument structure topic unicode date datetime.datetime base class give benefit box hopefully work mongokit document easier return objectid instance byte string useful mapping url find document example mongokit import connection conn connection exampleapp.model import talk conn.register([talk database conn['example collection database['talks talk collection talk.find_one talk 4b87c6b19d40b3375a000001 meta attribute django people familiar talk._meta meta talk talk talk talk._meta.verbose_name talk talk._meta.verbose_name_plural talk want override meta attribute like django orm class talk(model model ... class meta verbose_name_plural u""talkings limited set signal fire work django_mongokit document pre_delete post_delete pre_save post_save example -------- django mongokit come example project example app basic thing good source inspiration use django mongokit look example app django 1.1 pre multi support --------------------------------- django mongokit build django 1.2 multi support use django mongokit django 1.1 test django 1.1.1 secondary database example want continue run application mysql posgresql oracle fast log app write mongodb way difference django 1.2 need specify setting call mongo_database_name like mongo_database_name example document form -------------- version django modelform supply mongokit documents call documentform simple django_mongokit.forms import documentform model import talk class talkform(documentform class meta document talk automatically pull field mongokit structure attribute associate required_field default_value build associate form field document customize documentform like customize modelform class talkform(documentform def clean_when(self date object datefield create datetime object self.cleaned_data['when datetime.datetime(w.year w.month w.day 0,0,0 return class meta document talk field topic tag explicitly exclude field exclude created_on right documentforms support follow mongokit datatype int bool float unicode datetime.datetime datetime.date datetime.time list dict list dict character field editable json format documentforms support nest document nest dictionary key moment documentforms moment support mongokit validation troubleshoot --------------- error django.core.exceptions.improperlyconfigure django_mongokit.mongodb available database backend try django.db.backends.xxx xxx dummy mysql oracle postgresql postgresql_psycopg2 sqlite3 error module name mongokit simply mongokit instal"
2,gmaps url parser |build| |downloads| |license| |version| |pep8| parse google map urls install automatic ------------------- pip install gmaps url parser install manual ---------------- git clone gmaps url parser python install usage ----- code python gmaps_url_parser import parse url parse(url latitude 35.2131065 zoom_level 10106 place bou saada algeria maptype earth longitude 4.1479717 license ------- mit |build| image |downloads| image |license| image |version| image |pep8| image target
3,"django excel response image target alt late version image target alt test build status image target alt code coverage subclass httpresponse transform queryset sequence sequence excel spreadsheet csv file format excel depend datum installation pip install django excel response provide class excel_response.response excelresponse accepted argument datum queryset list list construct output output_filename filename suggest http response minus file extension default excel_data worksheet_name worksheet inside spreadsheet datum insert default force_csv boolean state force csv output default false header_font font apply header row spreadsheet instance openpyxl.styles.font default data_font font apply datum cell spreadsheet instance openpyxl.styles.font default excel_response.views excelmixin excel_response.views excelview example function base view -------------------- construct datum queryset code block python excel_response import excelresponse def excelview(request objs somemodel.objects.all return excelresponse(objs construct datum manually code block python excel_response import excelresponse def excelview(request datum column column 1,2 23,67 return excelresponse(data my_data class base view ----------------- simple import code block python excel_response import excelview class modelexportview(excelview model somemodel"
4,slidoc image target image target image target alt documentation status image target alt update use python html slide pandoc free software mit license documentation feature -------- todo credit ------- package create cookiecutter audreyr cookiecutter pypackage project template cookiecutter audreyr cookiecutter pypackage history 0.0.1 2018 ------------------ release pypi
5,mr.sisyphus pointless toil end mr. sisyphus tool improve permission github organisation allow user create repository have admin repository require organisation github team owners team create default team hold developer organisation push pull right set new team package push pull admin right set new team administer organisation admin administer owners developers team usage ----- need customise mr.sisyphus.cfg file information organisation default provide organisation collective organisation team list name respectively owner --auto contributor canadd configuration file look like sisyphus organization collective developer_team --auto contributor stub_team canadd time run script prompt github username password user authenticate member owners team organisation want administer create oauth token store mr.sisyphus.cfg file point configuration file consider secret way oauth token apply organisation find token gain admin access private repos oauth token disable github user profile prompt log delete config file point script run non interactive mode dry run ------- mr.sisyphus plan invoke ./bin mr.sisyphus.cfg skip make actual call github
6,"maildropccreader build status](https://travis rtorres90 maildropcc reader.svg?branch master)](https://travis rtorres90 maildropcc reader maildropccreader simple api extract email account maildropccreader import maildropccreader maildrop_reader maildropccreader(email_account=""chile maildrop_reader.get_emails output id':'atc7qx sender u'test@ismyemailworking.com test c8a64c21 2c1b-463d-8bf0 1283f8e16f92 date u'jul 2017 10:30 body':'received 108.60.212.145])\r\n localhost\r\n smtp maildrop j55kim4a\r\n sat jul 2017 10:30:25 -0700 pdt)\r\nmime version 1.0\r\nmessage afe6e0fd7cfe899d@b0467bdd42a8d410>\r\ndate sat jul 2017 10:30:58 -0700\r\nfrom email test test c8a64c21 2c1b-463d-8bf0 1283f8e16f92]\r\ncontent type text plain;\r\n\tcharset=""utf-8""\r\ncontent transfer encoding quote printable\r\n\r\ncongratulations=20you=20have=20now=20proven=20that=20you=20at=20least=20rec=\r\neive=20email!=20now=20to=20prove=20that=20you=20can=20also=20send=20email=\r\n=20simply=20reply=20to=20this=20message=20and=20we=20will=20let=20you=20kno=\r\nw=20when=20we=20receive=20your=20reply.=20be=20sure=20to=20check=20your=20j=\r\nunk bulk spam=20(whatever=20it=20is=20for=20you)=20box=20again=20for=20our=\r\n=20next=20reply.=0d=0a=0d=0a=0d=0aplease=20note,=20we=20do=20not=20spam=20o=\r\nr=20solicit=20anyone.=20you=20received=20this=20email=20because=20you=20(or=\r\n=20someone=20posing=20to=20be=20you)=20requested=20it.=20we=20implement=20a=\r\nnd=20work=20to=20constantly=20improve=20our=20security=20technologies=20in=\r\n=20order=20to=20prevent=20non contact.aspx.\r\n output structure ----------------- output dictionary followind datum email platform body email content date reception date email sender sender email subject subject email install --------------- pip install maildropccreader note ------ alpha version problem complex email try use api plain text email try receive complex datum email body weird character encode stuff"
7,mailgun python sdk build status](https://travis vdb mailgun python sdk.svg?branch master)](https://travis vdb mailgun python sdk coverage repos github vdb mailgun python sdk badge.svg?branch github vdb mailgun python sdk?branch master pypi pypi mailgun python pypi mailgun python sdk python sdk mailgun support api ips late api ips.html logs late api logs.html mailinglist late api mailinglists.html roadmap publish pypi add test setup coverage add api generate doc publish pypi bash python sdist upload
8,usage python example process run pid 9909 pyinject memdump 9909 ... dump meliae output maliae-dump-9909.json
9,readme mean consumption human pypi pypi render rst file use sphinx feature want learn write documentation check text appear pypi github comment redturtle.tiles.tileoftile tile render tile manager render tile manager redturtle.tiles.management add work manager work mosaic tile allow complicated layout simple tile manager installation ------------ install redturtle.tiles.tileoftiles add buildout buildout ... egg redturtle.tiles.tileoftile run bin buildout contribute ---------- issue tracker source code license ------- project license gplv2 contributor luca bellenghi changelog 1.0a2 2019 ------------------ add text color field pnicolli 1.0a1 2019 ------------------ initial release
10,spiderle interface atuador comunicação entre serviços analytics spiderbot maestro por meio plataforma konker
11,taxis package django oscar package manage taxis django oscar package structure oscar django oscar documentation documentation license ------- package release new bsd license setting -------- add eurotaxes.partner installed_apps replace equivalent oscar app achieve oscar get_core_apps function e.g. code block python ... installed_apps django.contrib.auth ... oscar import get_core_apps installed_apps installed_apps get_core_apps eurotaxes.catalogue eurotaxes.dashboard eurotaxes.dashboard.catalogue eurotaxes.partner command -------- use command oscar_populate_taxes add european taxis
12,repo bring strong analysis scope python language tell symbol inside context freevar bound var cell var detail like closure coroutine generator async generator python scoping check code xython yapypy blob master python internal code symbol resolver leverage implement transpiler python language hygienic scope like tensorflow guide autograph numba numba doc late reference jit compilation.html#jit function python utranspiler import transpile func func valid python function denote external function @transpile def ufunc(x func(x code func resolve global variable word search func global context current module sure exactly func object expected external function confused power symbol resolver example python utranspiler import transpile func @transpile def ufunc(x func lambda func(x python utranspiler import transpile func func lambda @transpile def ufunc(x func(x expect func external function want check symbol manually implement specific symbol analyzer tensorflow team struggle problem unhygienic follow link usage check test scopetagger convert ast lead new context wrap node name scopedast information current context hold python import unittest import ast scoping_resolver import to_scoped_ast scopedast symtable scopetagger mod_code lambda def f(x g(x g(c class testsimple(unitt testcase def test(self mod ast.parse(mod_code new symbol table object global context course symbol table sub contexts create analyze module ast symtable.global_context raw information ast scopetagger(g).visit(mod peform analysis g.analyze directly use to_scoped_ast(mod instead need level representation nest scope print(g.show_resolution analyzedsymtable(bound set freevars set cellvars set analyzedsymtable(bounds={'x freevars set cellvars set analyzedsymtable(bounds={'x freevars set cellvars set body mod.body def_f scopedast body[1 functiondef create new context wrap inside scopedast self.assertequal(type(def_f scopedast self.assertequal(type(def_f.node ast functiondef self.assertin('c def_f.scope.analyzed.bound
13,"octobot drakkar software octobot tree dev docs pypi pypi octobot/ code repository github drakkar software octobot repository github drakkar software octobot overview dev downloads](https://pepy.tech badge octobot month)](https://pepy.tech project octobot docker pull drakkarsoftware drakkarsoftware octobot coverage coverall github drakkar software github drakkar software octobot?branch dev build status](https://api.travis drakkar software octobot.svg?branch dev)](https://travis drakkar software octobot build api project status jr9o8sghywnued9x?svg project herklos octobot octobot community active badge dynamic json.svg?&url metric community count/0/-1/0&query=$.total&color green&label octobots%20online%20this%20month telegram badge telegram chat joinchat f9cyfxv97zoaxq47h5drww discord/530629985661222912.svg?logo vhkcb8w telegram badge telegram news octobot_project twitter follow drakkarsoctobot.svg?label follow&style drakkarsoctobot align=""center img src="" /assets octopus.svg alt=""octobot logo height=""400 width=""400 web interface]( /assets web interface.gif description octobot powerful fully modular open source cryptocurrency trading robot repository contain feature bot trading tool interface service ... module octobot tentacle install tentacle use integrated tentacle drakkar software octobot wiki tentacle manager octobot ready octobot drakkar software octobot blob asset telegram interface.png""><img src="" /assets telegram interface.png height=""414 alt=""telegram interface""></a twitter interface]( /assets twitter herklosbotcrypt octobot highly customizable configuration tentacle system build bot infinite drakkar software octobot wiki configuration possibility octobot main feature evolution drakkar software octobot wiki tentacle manager drakkar software octobot wiki customize octobot drakkar software octobot wiki customize octobot tentacle want build ideal cryptocurrency trading robot share octobot evolution installation octobot installation simple ... document launcher drakkar software octobot wiki installation open octobot launcher release drakkar software octobot launcher release download launcher laucher_windows.exe launcher_linux start launcher click update octobot drakkar software octobot wiki docker touch config.json docker run -it --name myamazingoctobot pwd)/config.json:/bot octobot config.json pwd)/logs:/bot octobot log pwd)/tentacles:/bot octobot tentacle drakkarsoftware octobot beta python drakkar software octobot wiki python unix install python3.7 git clone octobot ./config default_config.json ./config.json pip3 install pre_requirements.txt pip3 install requirements.txt python3 install detail wiki drakkar software octobot wiki#installation usage start launcher click start octobot information look usage wiki drakkar software octobot wiki usage know feature octobot exchange binance]( /assets binance bitfinex]( /assets coinbasepro bitfinex]( /assets kucoin bitfinex]( /assets bitfinex bittrex]( /assets bittrex octobot support drakkar software octobot wiki exchanges#octobot official support exchange thank ccxt ccxt ccxt activate trading exchange configure octobot api key describe drakkar software octobot wiki exchange roadmap roadmap]( /assets drakkar software octobot tree asset roadmap_open_beta.png disclaimer risk money afraid lose use software risk authors affiliate assume responsibility trading results start run trading bot simulation mode engage money understand work profit loss expect hesitate read source code understand mechanism bot contribute contribution wiki drakkar software octobot wiki contribution"
14,negociate framework agreement tender module allow negociate framework agreement tender check box negociate agreement module add state agreement select tender purchase order final state choose agreement good fit need selection use button agreement select tender close flow tender related accordingly future improvement generate framework agreement contain negociated price need fill manually
15,
